what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1316921102816
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1316921102817
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1316921102817
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1316921102819
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1316921102823
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1316921102824
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1316921102827
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1316921102829
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1316921102832
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1316921102834
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1316921102835
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1316921102838
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1316921102840
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1316921102842
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1316921102844
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1316921102844
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1316921102846
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1316921102848
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1316921102850
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1316921102851
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1316921102853
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1316921102855
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1316921102858
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1316921102860
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1316921102861
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1316921102862
started,bundle,com.google.appengine.eclipse.core,2.4.0.r37v201108301710,"com.google.appengine.eclipse.core",1316921102862
started,bundle,com.google.gdt.eclipse.core,2.4.0.r37v201108301710,"com.google.gdt.eclipse.core",1316921102864
started,bundle,com.google.gdt.eclipse.login,2.4.0.r37v201108301710,"com.google.gdt.eclipse.login",1316921102864
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1316921102866
os,sysinfo,,,"macosx",1316921102870
arch,sysinfo,,,"x86",1316921102870
ws,sysinfo,,,"cocoa",1316921102870
locale,sysinfo,,,"en_US",1316921102870
processors,sysinfo,,,"2",1316921102870
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316921102870
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1316921102870
java.specification.name,sysinfo,,,"Java Platform API Specification",1316921102870
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316921102870
java.specification.version,sysinfo,,,"1.6",1316921102870
java.vendor,sysinfo,,,"Apple Inc.",1316921102870
java.version,sysinfo,,,"1.6.0_26",1316921102870
java.vm.info,sysinfo,,,"mixed mode",1316921102871
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316921102871
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316921102871
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316921102871
java.vm.specification.version,sysinfo,,,"1.0",1316921102871
java.vm.vendor,sysinfo,,,"Apple Inc.",1316921102871
java.vm.version,sysinfo,,,"20.1-b02-384",1316921102871
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1316921102878
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1316921103886
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.0.r37v201108301710,"com.google.gdt.eclipse.appengine.rpc",1316921103990
