what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922538319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922540907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922540962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922542511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316922545210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316922545384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316922545907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922546994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922547702
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316922547797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922548191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922548232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922549715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922552334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922552391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922553233
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316922554456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922560575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922560638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922561490
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1316922564294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922566953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922567744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316922567832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922568720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922569227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316922569371
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316922572033
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316922578976
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1316922579155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922585644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922587512
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316922589646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316922590523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922593842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922593911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922594733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922595467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1316922595521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316922596882
